"Institute","Academic Program Name","Quota","Seat Type","Gender","Opening Rank","Closing Rank"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","5952","16727"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","4459","9890"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","11203","14551"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","15603","18571"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","23231","23370"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","10622","12282"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Data Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","18312","18884"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","22887","27120"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","26051","26451"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","15455","18801"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","25890","27508"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","18509","21840"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","17071","23228"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","12352","13853"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","19857","21061"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","19565","23031"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","25967","25967"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","13866","14490"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","21627","21627"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","43780","54412"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","48952","59569"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","31783","38436"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Industrial and Production Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","37925","46094"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","14489","19107"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","17580","22472"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","9998","12294"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Information Technology (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","15594","17371"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","27818","39070"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","27359","37930"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","20921","27948"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","33696","34298"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","23327","42849"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","40381","52089"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","22144","27850"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","31692","37720"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","54496","67372"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","64875","71356"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","36110","42650"
"Dr. B R Ambedkar National Institute of Technology, Jalandhar","Textile Technology (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","45788","47358"
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture)","HS","OPEN","Gender-Neutral","155","1494"
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture)","HS","OPEN","Female-only (including Supernumerary)","581","699"
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture)","OS","OPEN","Gender-Neutral","416","514"
"Malaviya National Institute of Technology Jaipur","Architecture (5 Years, Bachelor of Architecture)","OS","OPEN","Female-only (including Supernumerary)","183","392"
"Malaviya National Institute of Technology Jaipur","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","4106","6547"
"Malaviya National Institute of Technology Jaipur","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","4977","5434"
"Malaviya National Institute of Technology Jaipur","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","7664","7664"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","8511","26460"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","25754","30082"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","18617","22184"
"Malaviya National Institute of Technology Jaipur","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","16784","28381"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","14341","29650"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","30183","36539"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","18397","27548"
"Malaviya National Institute of Technology Jaipur","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","32829","38497"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","1974","5659"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","2990","7130"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","2535","4490"
"Malaviya National Institute of Technology Jaipur","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","3545","6208"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","9596","14294"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","17602","19387"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","7944","13304"
"Malaviya National Institute of Technology Jaipur","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","17623","19608"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","5817","9269"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","9546","13428"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","6828","8957"
"Malaviya National Institute of Technology Jaipur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","11557","13942"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","15193","19294"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","28468","32612"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","13896","18856"
"Malaviya National Institute of Technology Jaipur","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","22972","28845"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","28999","32268"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","37724","39589"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","22985","34930"
"Malaviya National Institute of Technology Jaipur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","36606","38174"
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture)","HS","OPEN","Gender-Neutral","532","1720"
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture)","HS","OPEN","Female-only (including Supernumerary)","184","999"
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture)","OS","OPEN","Gender-Neutral","414","639"
"Maulana Azad National Institute of Technology Bhopal","Architecture (5 Years, Bachelor of Architecture)","OS","OPEN","Female-only (including Supernumerary)","375","571"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","29713","34898"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","34469","37537"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","22939","31500"
"Maulana Azad National Institute of Technology Bhopal","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","32382","33563"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","23051","38086"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","41372","45983"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","30591","34971"
"Maulana Azad National Institute of Technology Bhopal","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","40199","42321"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","5180","10889"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","7161","13059"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","5604","7952"
"Maulana Azad National Institute of Technology Bhopal","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","9634","12822"
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","16701","20182"
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","24004","28896"
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","15761","18344"
"Maulana Azad National Institute of Technology Bhopal","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","23458","26416"
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","11718","16247"
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","15414","21978"
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","9867","13644"
"Maulana Azad National Institute of Technology Bhopal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","17005","20562"
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","34941","41149"
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","44136","52470"
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","32776","40080"
"Maulana Azad National Institute of Technology Bhopal","Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","41391","43653"
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","Gender-Neutral","11754","13793"
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","Female-only (including Supernumerary)","23504","23504"
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","Gender-Neutral","9037","13695"
"Maulana Azad National Institute of Technology Bhopal","Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","Female-only (including Supernumerary)","18237","18237"
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","18033","29571"
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","34300","39410"
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","20678","26403"
"Maulana Azad National Institute of Technology Bhopal","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","30761","37344"
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning)","HS","OPEN","Gender-Neutral","407","1141"
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning)","HS","OPEN","Female-only (including Supernumerary)","417","549"
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning)","OS","OPEN","Gender-Neutral","120","322"
"Maulana Azad National Institute of Technology Bhopal","Planning (4 Years, Bachelor of Planning)","OS","OPEN","Female-only (including Supernumerary)","106","315"
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","19141","27473"
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","27668","33697"
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","18956","29494"
"Motilal Nehru National Institute of Technology Allahabad","Bio Technology (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","35045","35150"
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","14685","18913"
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","23442","24611"
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","11491","20246"
"Motilal Nehru National Institute of Technology Allahabad","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","23342","25841"
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","16831","23584"
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","29807","33767"
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","15460","26504"
"Motilal Nehru National Institute of Technology Allahabad","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","33449","36259"
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","1696","5335"
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","3766","10115"
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","2195","4295"
"Motilal Nehru National Institute of Technology Allahabad","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","4753","7439"
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","9137","11254"
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","16867","19568"
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","9157","10850"
"Motilal Nehru National Institute of Technology Allahabad","Electrical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","15026","17821"
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","5559","8491"
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","8745","16157"
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","5924","7837"
"Motilal Nehru National Institute of Technology Allahabad","Electronics and Communication Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","10800","14513"
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","10454","12945"
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","22358","22358"
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","7531","10382"
"Motilal Nehru National Institute of Technology Allahabad","Engineering and Computational Mechanics (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","18117","18117"
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","12834","18036"
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","21258","27964"
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","11734","16883"
"Motilal Nehru National Institute of Technology Allahabad","Mechanical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","27175","30093"
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","20855","27123"
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","36131","37013"
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","15507","29798"
"Motilal Nehru National Institute of Technology Allahabad","Production and Industrial Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","36601","36967"
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","104599","166551"
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","85416","127794"
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","30841","45573"
"National Institute of Technology Agartala","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","42759","45771"
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","79550","178772"
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","125784","156665"
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","28383","41102"
"National Institute of Technology Agartala","Chemical Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","43813","44984"
"National Institute of Technology Agartala","Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))","HS","OPEN","Gender-Neutral","115372","207929"
"National Institute of Technology Agartala","Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))","OS","OPEN","Gender-Neutral","36519","47943"
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","146802","172569"
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","94302","163310"
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","22909","43787"
"National Institute of Technology Agartala","Civil Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","47691","51952"
"National Institute of Technology Agartala","Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))","HS","OPEN","Gender-Neutral","104687","159651"
"National Institute of Technology Agartala","Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))","OS","OPEN","Gender-Neutral","8742","23967"
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Gender-Neutral","24733","50019"
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology)","HS","OPEN","Female-only (including Supernumerary)","30862","54242"
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Gender-Neutral","8502","16987"
"National Institute of Technology Agartala","Computer Science and Engineering (4 Years, Bachelor of Technology)","OS","OPEN","Female-only (including Supernumerary)","16331","26706"
